APN,ADDRESS,Date_Sale,Sale_Amount,Num_Bedrooms,BLKLOT
3189 014,420 MIRAMAR AVE,4/27/2012,"$838,000 ",2,3189014
3584 039,571 NOE ST,4/27/2012,"$1,025,000 ",2,3584039
3590 086, 752 SOUTH VAN NESS AVE,4/27/2012,"$760,000 ",2,3590086
3617 097,3345 21ST ST,4/27/2012,"$1,009,000 ",2,3617097
3619 104,886 DOLORES ST,4/27/2012,"$1,070,000 ",2,3619104
3707 120,74 NEW MONTGOMERY ST 502,4/27/2012,"$960,000 ",2,3707120
3731 231,75 MOSS ST #11,4/27/2012,"$575,000 ",2,3731231
3765 111,425 1ST ST #1703,4/27/2012,"$1,088,000 ",2,3765111
3765 230,425 1ST ST #3306,4/27/2012,"$1,100,000 ",2,3765230
3774 247,200 BRANNAN ST #106,4/27/2012,"$1,262,626 ",2,3774247
4106 150,801 INDIANA ST #461,4/27/2012,"$777,600 ",2,4106150
6795D034,135 THERESA ST,4/27/2012,"$680,000 ",2,6795D034
0819 055,582 FELL ST,4/30/2012,"$450,000 ",2,819055
0854 124,55 PAGE ST 727,4/30/2012,"$590,000 ",2,854124
3283 163,419 DORADO TER 38,4/30/2012,"$470,000 ",2,3283163
3704 136,410 JESSIE ST #401,4/30/2012,"$780,000 ",2,3704136
3706 182,765 MARKET ST # 28H,4/30/2012,"$1,650,000 ",2,3706182
3719 116,301 MISSION ST 14J,4/30/2012,"$1,025,000 ",2,3719116
4591B046,111 MARLIN CT 46,4/30/2012,"$102,000 ",2,4591B046
6688 036,24 HIGHLAND AVE,4/30/2012,"$485,000 ",2,6688036
8702 598,260 KING ST #873,4/30/2012,"$620,000 ",2,8702598
3719 103,301 MISSION ST 12E,5/1/2012,"$950,000 ",2,3719103
3719 286,301 MISSION ST #38C,5/1/2012,"$2,700,000 ",2,3719286
3789 744,229 BRANNAN ST #17-G,5/1/2012,"$1,300,000 ",2,3789744
5843 032,400 ALEMANY BL #14,5/1/2012,"$287,000 ",2,5843032
6634 062,1629 DOLORES ST #2,5/1/2012,"$815,000 ",2,6634062
0189 032,1254 WASHINGTON ST,5/2/2012,"$1,145,000 ",2,189032
0275B059,900 BUSH ST 316,5/2/2012,"$519,500 ",2,0275B059
3719 313,301 MISSION ST #42F,5/2/2012,"$1,730,000 ",2,3719313
5700 002,724 JARBOE AVE,5/2/2012,"$547,112 ",2,5700002
0208 053,611 WASHINGTON ST 2404,5/3/2012,"$1,650,000 ",2,208053
0742 042,750 VAN NESS AVE 303,5/3/2012,"$470,000 ",2,742042
1925 011A,1676 19TH AVE,5/3/2012,"$629,000 ",2,1925011A
3719 149,301 MISSION ST #18F,5/3/2012,"$1,800,000 ",2,3719149
3719 314,301 MISSION ST #43A,5/3/2012,"$1,700,000 ",2,3719314
3745 220,301 MAIN ST UNIT 14D,5/3/2012,"$1,275,000 ",2,3745220
4991 598,0401 CRESCENT WAY #4413,5/3/2012,"$330,000 ",2,4991598
0069 042,1150 LOMBARD ST 42,5/4/2012,"$1,575,000 ",2,69042
3588 109,736 VALENCIA ST #401,5/4/2012,"$1,050,000 ",2,3588109
3719 328,301 MISSION ST #46C,5/4/2012,"$1,925,000 ",2,3719328
4966 047,1107 HOLLISTER AVE,5/4/2012,"$289,000 ",2,4966047
5913 021,1130  SILLIMAN ST,5/4/2012,"$510,000 ",2,5913021
6513 052,1205 GUERRERO ST,5/4/2012,"$549,000 ",2,6513052
6603 011,416 28TH ST,5/4/2012,"$1,010,000 ",2,6603011
8704 027,300 BERRY ST # 305,5/4/2012,"$615,000 ",2,8704027
0507 045,1966 GREENWICH ST,5/7/2012,"$1,085,800 ",2,507045
4101 089,25 SIERRA EAST #306,5/7/2012,"$630,000 ",2,4101089
7178 004,40 NIANTIC AVE,5/7/2012,"$350,000 ",2,7178004
0208 032,611 WASHINGTON ST 2104,5/8/2012,"$3,000,000 ",2,208032
0633 022,2029 PIERCE ST 301,5/8/2012,"$625,000 ",2,633022
3556 062,374 GUERRERO ST #3,5/8/2012,"$641,000 ",2,3556062
3766 188,400 BEALE ST #1507,5/8/2012,"$857,000 ",2,3766188
3774 285,200 BRANNAN ST #144,5/8/2012,"$1,175,000 ",2,3774285
5384A001,1 ROBBLEE AVE,5/8/2012,"$420,000 ",2,5384A001
5624 011,58 ELLSWORTH ST,5/8/2012,"$712,000 ",2,5624011
6634 061,1629 DOLORES ST #1,5/8/2012,"$801,000 ",2,6634061
8702 501,260 KING ST #723,5/8/2012,"$665,000 ",2,8702501
1182 077,1335 FULTON ST #301,5/9/2012,"$850,000 ",2,1182077
3774 353,200 BRANNAN ST #320,5/9/2012,"$1,450,000 ",2,3774353
0599 293,1840 WASHINGTON ST #501,5/10/2012,"$960,000 ",2,599293
1135 031,110 STANYAN ST,5/10/2012,"$945,000 ",2,1135031
3719 221,301 MISSION ST #27D,5/10/2012,"$2,450,000 ",2,3719221
0821 066,700 FELL ST 7,5/11/2012,"$650,000 ",2,821066
1081 063,1326 LYON ST,5/11/2012,"$610,000 ",2,1081063
1931 051,1605 12TH AVE,5/11/2012,"$530,000 ",2,1931051
3719 400,301 MISSION ST #502,5/14/2012,"$1,875,000 ",2,3719400
0065 046,950 COLUMBUS AVE 18,5/15/2012,"$725,000 ",2,65046
0182 049,1101 PACIFIC AVE #602,5/15/2012,"$1,030,000 ",2,182049
0442A028A,1825 BEACH ST,5/15/2012,"$1,275,000 ",2,0442A028A
0547 044,1438 GREEN ST 6C,5/15/2012,"$860,000 ",2,547044
0600 021,1885 JACKSON ST 101,5/15/2012,"$760,000 ",2,600021
0774 028,1000 STEINER ST 202,5/15/2012,"$675,000 ",2,774028
1067 059,99 BLAKE ST,5/15/2012,"$880,000 ",2,1067059
1129 098,1800 TURK ST #203,5/15/2012,"$450,000 ",2,1129098
2366 030,2354 38TH AVE,5/15/2012,"$640,000 ",2,2366030
2631 042,1456 WILLARD ST,5/15/2012,"$2,625,000 ",2,2631042
3570 101,566 SOUTH VAN NESS AVE #3,5/15/2012,"$605,000 ",2,3570101
3706 172,765 MARKET ST #027F,5/15/2012,"$4,750,000 ",2,3706172
3706 173,765 MARKET ST #027G,5/15/2012,"$2,735,000 ",2,3706173
3719 258,301 MISSION ST #33E,5/15/2012,"$1,850,000 ",2,3719258
3719 366,301 MISSION STREET #54C,5/15/2012,"$4,230,000 ",2,3719366
3765 110,425 1ST ST #1702,5/15/2012,"$1,185,000 ",2,3765110
0692 022,1151 SUTTER ST #201,5/16/2012,"$720,000 ",2,692022
3557 084,120 LANDERS ST 120F,5/16/2012,"$770,000 ",2,3557084
3719 130,301 MISSION ST #16E,5/16/2012,"$1,028,000 ",2,3719130
3719 324,301 MISSION ST #45E,5/16/2012,"$2,050,000 ",2,3719324
3978 123,451 KANSAS ST #518,5/16/2012,"$692,000 ",2,3978123
4106 143,808 MINNESOTA ST #452,5/16/2012,"$965,000 ",2,4106143
4645 039,800 INNES AVE #2,5/16/2012,"$260,000 ",2,4645039
0619 035,1725 WASHINGTON ST UNIT 3,5/17/2012,"$792,500 ",2,619035
0735 053,1118 EDDY ST A,5/17/2012,"$415,000 ",2,735053
3754 081,155 HARRIET ST #4,5/17/2012,"$510,000 ",2,3754081
6048 010,2774 SAN BRUNO AVE,5/17/2012,"$450,000 ",2,6048010
0288 072,333 BUSH ST 3706,5/18/2012,"$1,575,000 ",2,288072
0595 155,1601 PACIFIC AVE #402,5/18/2012,"$999,000 ",2,595155
0599 288,1840 WASHINGTON ST #304,5/18/2012,"$939,820 ",2,599288
0622 033,1776 SACRAMENTO ST 402,5/18/2012,"$800,000 ",2,622033
0976 056,2919 PACIFIC AVE 10,5/18/2012,"$975,000 ",2,976056
1464 002A,423 32ND AVE,5/18/2012,"$500,000 ",2,1464002A
2003 056,4019 MORAGA ST,5/18/2012,"$557,000 ",2,2003056
3722 336,188 MINNA ST 34F,5/18/2012,"$1,750,000 ",2,3722336
3726 161,551 NATOMA  #1,5/18/2012,"$845,000 ",2,3726161
3789 819,239 BRANNAN ST #11G,5/18/2012,"$1,475,000 ",2,3789819
3793 201,88 KING ST #1106,5/18/2012,"$915,000 ",2,3793201
4106 142,808 MINNESOTA ST #451,5/18/2012,"$980,000 ",2,4106142
4991 348,101 CRESCENT WAY  #2103,5/18/2012,"$275,000 ",2,4991348
5431B016,5800 3RD ST #1117,5/18/2012,"$385,000 ",2,5431B016
8707 012,325 BERRY ST #104,5/18/2012,"$790,000 ",2,8707012
0762 151,601 VAN NESS AVE 151,5/21/2012,"$734,500 ",2,762151
0762 203,601 VAN NESS AVE 641,5/21/2012,"$354,000 ",2,762203
3719 043,301 MISSION ST #5E,5/21/2012,"$935,000 ",2,3719043
3765 175,425 1ST ST #2503,5/21/2012,"$906,667 ",2,3765175
3794 037,188 KING ST #207,5/21/2012,"$1,200,000 ",2,3794037
1055 025,720 PRESIDIO AVE,5/22/2012,"$667,500 ",2,1055025
3719 306,301 MISSION ST #41E,5/22/2012,"$2,100,000 ",2,3719306
3745 161,318 SPEAR ST UNIT 8H,5/22/2012,"$1,100,000 ",2,3745161
4281A016,1493 KANSAS ST,5/22/2012,"$715,000 ",2,4281A016
6920 018,120 CORONA ST,5/22/2012,"$995,000 ",2,6920018
0657 033,1802 SCOTT ST,5/23/2012,"$1,488,000 ",2,657033
1166 040,34 PARAMOUNT TER,5/23/2012,"$1,030,000 ",2,1166040
2085 047,1806 GREAT HWY,5/23/2012,"$1,050,000 ",2,2085047
2718A018,3 BURNETT NORTH AVE #8,5/23/2012,"$710,000 ",2,2718A018
3754 106,322 6TH ST #10,5/23/2012,"$445,000 ",2,3754106
8706 306,207 KING ST #413,5/23/2012,"$1,200,000 ",2,8706306
0574 043,1545 BROADWAY  207,5/24/2012,"$700,000 ",2,574043
1020 087,446 LAUREL ST,5/24/2012,"$1,065,000 ",2,1020087
3707 154,74 NEW MONTGOMERY ST 702,5/24/2012,"$1,100,000 ",2,3707154
3719 252,301 MISSION ST #32E,5/24/2012,"$1,850,000 ",2,3719252
0047C138,1080 CHESTNUT ST #010A,5/25/2012,"$1,725,000 ",2,0047C138
0215C051,1333 JONES ST #0901,5/25/2012,"$1,150,000 ",2,0215C051
0578 082,2090 PACIFIC AVE 701,5/25/2012,"$1,357,000 ",2,578082
1692 015,875 LA PLAYA  178,5/25/2012,"$336,000 ",2,1692015
1748 023,124 HUGO ST,5/25/2012,"$806,500 ",2,1748023
2307 013,2283 42ND AVE,5/25/2012,"$550,000 ",2,2307013
3719 065,301 MISSION ST #7J,5/25/2012,"$980,000 ",2,3719065
3729 141,773 TEHAMA ST #3,5/25/2012,"$654,800 ",2,3729141
3745 391,338 SPEAR ST #4A,5/25/2012,"$885,000 ",2,3745391
3776 277,555 04TH ST #606,5/25/2012,"$724,000 ",2,3776277
4106 141,989 20TH ST #368,5/25/2012,"$744,405 ",2,4106141
5916 001C,76 DARTMOUTH ST,5/25/2012,"$700,000 ",2,5916001C
0288 071,333 BUSH ST 3705,5/29/2012,"$1,325,000 ",2,288071
0723C061,1305 LAGUNA  #1,5/29/2012,"$245,000 ",2,0723C061
8702 266,250 KING ST #574,5/29/2012,"$665,000 ",2,8702266
0599 294,1840 WASHINGTON ST #502,5/30/2012,"$979,110 ",2,599294
3719 391,301 MISSION ST #304,5/30/2012,"$1,235,000 ",2,3719391
3776 434,555 04TH ST #915,5/30/2012,"$650,000 ",2,3776434
0595 153,1601 PACIFIC AVE #301,5/31/2012,"$888,000 ",2,595153
0625C011,1925 GOUGH ST #053,5/31/2012,"$985,000 ",2,0625C011
0713 035,1200 GOUGH ST 2A,5/31/2012,"$440,000 ",2,713035
1082 034,2653 POST ST,5/31/2012,"$542,000 ",2,1082034
3140 024,374 STAPLES AVE,5/31/2012,"$459,000 ",2,3140024
3719 371,301 MISSION ST #55D,5/31/2012,"$3,350,000 ",2,3719371
3765 118,425 1ST ST #1802,5/31/2012,"$1,250,000 ",2,3765118
3788 095,1 CLARENCE PL 10,5/31/2012,"$1,000,000 ",2,3788095
4106 110,801 INDIANA ST #160,5/31/2012,"$741,750 ",2,4106110
4106 121,801 INDIANA ST #259,5/31/2012,"$773,171 ",2,4106121
4106 135,801 INDIANA ST #362,5/31/2012,"$750,000 ",2,4106135
6633 038,1650 DOLORES ST,5/31/2012,"$1,040,000 ",2,6633038
0191 037,939 JACKSON ST #202,6/1/2012,"$903,000 ",2,191037
0215 037,1340 CLAY ST 501,6/1/2012,"$1,500,000 ",2,215037
0539 042,2929 FILLMORE ST,6/1/2012,"$1,465,000 ",2,539042
0732 047,1310 FILLMORE ST #403,6/1/2012,"$585,000 ",2,732047
3765 183,425 1ST ST #2603,6/1/2012,"$1,130,000 ",2,3765183
4021 028,601 ALABAMA ST #306,6/1/2012,"$639,000 ",2,4021028
7126A163,8400 OCEANVIEW TER. #319,6/1/2012,"$265,000 ",2,7126A163
7265 015,130 EVERGLADE DR,6/4/2012,"$820,000 ",2,7265015
