year,type,gpw
2008,supercomputer,0.14892
2008,supercomputer,0.14811
2008,supercomputer,0.14221
2008,supercomputer,0.14135
2008,supercomputer,0.14023
2008,supercomputer,0.13968
2008,supercomputer,0.13883
2008,supercomputer,0.13799
2008,supercomputer,0.13751
2008,supercomputer,0.13173
2008,supercomputer,0.13095
2008,supercomputer,0.1296
2008,supercomputer,0.12782
2008,supercomputer,0.12755
2008,supercomputer,0.12541
2008,supercomputer,0.11777
2008,supercomputer,0.11451
2008,supercomputer,0.10991
2008,supercomputer,0.10928
2008,supercomputer,0.10761
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10425
2008,supercomputer,0.10332
2008,supercomputer,0.10332
2008,supercomputer,0.10264
2008,supercomputer,0.10012
2008,supercomputer,0.09895
2008,supercomputer,0.09895
2008,supercomputer,0.09895
2008,supercomputer,0.09531
2008,supercomputer,0.09456
2008,supercomputer,0.09419
2008,supercomputer,0.09338
2008,supercomputer,0.09338
2008,supercomputer,0.09323
2008,supercomputer,0.09318
2008,supercomputer,0.09137
2008,supercomputer,0.09001
2008,supercomputer,0.08862
2008,supercomputer,0.08855
2008,supercomputer,0.08589
2008,supercomputer,0.08526
2008,supercomputer,0.08394
2008,supercomputer,0.07985
2008,supercomputer,0.07948
2008,supercomputer,0.07634
2008,supercomputer,0.07622
2008,supercomputer,0.07592
2008,supercomputer,0.07524
2008,supercomputer,0.07386
2008,supercomputer,0.07346
2008,supercomputer,0.07281
2008,supercomputer,0.07281
2008,supercomputer,0.07238
2008,supercomputer,0.07207
2008,supercomputer,0.07181
2008,supercomputer,0.07068
2008,supercomputer,0.07005
2008,supercomputer,0.06969
2008,supercomputer,0.06693
2008,supercomputer,0.06693
2008,supercomputer,0.06618
2008,supercomputer,0.06588
2008,supercomputer,0.06585
2008,supercomputer,0.06578
2008,supercomputer,0.06565
2008,supercomputer,0.0655
2008,supercomputer,0.06516
2008,supercomputer,0.06501
2008,supercomputer,0.06501
2008,supercomputer,0.06501
2008,supercomputer,0.06433
2008,supercomputer,0.06389
2008,supercomputer,0.06325
2008,supercomputer,0.06317
2008,supercomputer,0.06317
2008,supercomputer,0.06286
2008,supercomputer,0.06271
2008,supercomputer,0.06249
2008,supercomputer,0.0623
2008,supercomputer,0.06191
2008,supercomputer,0.06177
2008,supercomputer,0.06149
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.0614
2008,supercomputer,0.06062
2008,supercomputer,0.06046
2008,supercomputer,0.05748
2008,supercomputer,0.05715
2008,supercomputer,0.05708
2008,supercomputer,0.05691
2008,supercomputer,0.05684
